nazev;okres;obec;pocetMist;lon;lat
Kontaktní pracoviště Třinec;FM;Třinec;312;18,6707797;49,6776323
Kontaktní pracoviště Turnov;SM;Turnov;0;15,15680108;50,58728478
Kontaktní pracoviště Uherské Hradiště;UH;Uherské Hradiště;2571;17,45968553;49,06974979
Kontaktní pracoviště Uherský Brod;UH;Uherský Brod;0;17,64715055;49,02512995
Kontaktní pracoviště Uničov;OL;Uničov;0;17,12143634;49,77091536
Kontaktní pracoviště Ústí nad Labem;UL;Ústí nad Labem;733;14,04069272;50,66048752
Kontaktní pracoviště Ústí nad Orlicí;UO;Ústí nad Orlicí;3564;16,39361064;49,97387453
Kontaktní pracoviště Valašské Klobouky;ZL;Valašské Klobouky;0;18,00760008;49,14063605
Kontaktní pracoviště Valašské Meziříčí;VS;Valašské Meziříčí;0;17,97112732;49,47180527
Kontaktní pracoviště Varnsdorf;DC;Varnsdorf;0;14,6182351;50,91154401
Kontaktní pracoviště Velké Meziříčí;ZR;Velké Meziříčí;0;16,01224276;49,35521713
Kontaktní pracoviště Velké Meziříčí (Velká Bíteš);ZR;Velká Bíteš;0;16,22585239;49,2886264
Kontaktní pracoviště Veselí nad Moravou;HO;Veselí nad Moravou;0;17,37648262;48,95363281
Kontaktní pracoviště Vimperk;PT;Vimperk;0;13,77425739;49,05243278
Kontaktní pracoviště Vítkov;OP;Vítkov;55;17,74941015;49,77445141
Kontaktní pracoviště Vodňany;ST;Vodňany;0;14,17512921;49,14789081
Kontaktní pracoviště Volary;PT;Volary;0;13,88657486;48,90880978
Kontaktní pracoviště Vrchlabí;TU;Vrchlabí;0;15,60937419;50,62696796
Kontaktní pracoviště Vsetín;VS;Vsetín;2328;17,99619027;49,33870886
Kontaktní pracoviště Vysoké Mýto;UO;Vysoké Mýto;0;16,16169284;49,9532047
Kontaktní pracoviště Vyškov;VY;Vyškov;1812;16,99897445;49,27746931
Kontaktní pracoviště Zábřeh;SU;Zábřeh;0;16,87222699;49,88260171
Kontaktní pracoviště Zlín;ZL;Zlín;4130;17,66633385;49,22665421
Kontaktní pracoviště Znojmo;ZN;Znojmo;1572;16,04879762;48,85549874
Kontaktní pracoviště Znojmo (Hrušovany nad Jevišovkou);ZN;Hrušovany nad Jevišovkou;0;16,4027074;48,82990854
Kontaktní pracoviště Znojmo (Vranov nad Dyjí);ZN;Vranov nad Dyjí;0;15,81269823;48,89469836
Kontaktní pracoviště Žamberk;UO;Žamberk;0;16,46737961;50,08601284
Kontaktní pracoviště Žatec;LN;Žatec;0;13,54577306;50,32716901
Kontaktní pracoviště Žďár nad Sázavou;ZR;Žďár nad Sázavou;1165;15,93924059;49,5626335
Kontaktní pracoviště Židlochovice;BO;Židlochovice;0;16,61880645;49,03952422
