nazev;okres;obec;pocetMist;lon;lat
Kontaktní pracovištì Frıdlant;LB;Frıdlant;0;15,0797406;50,92139437
Kontaktní pracovištì Frıdlant (Nové Mìsto pod Smrkem);LB;Nové Mìsto pod Smrkem;0;15,22942842;50,92490969
Kontaktní pracovištì Frıdlant nad Ostravicí;FM;Frıdlant nad Ostravicí;0;18,35966511;49,59280301
Kontaktní pracovištì Hanušovice;SU;Hanušovice;0;16,93640962;50,08048561
Kontaktní pracovištì Havíøov;KA;Havíøov;0;18,43687986;49,77984479
Kontaktní pracovištì Havlíèkùv Brod;HB;Havlíèkùv Brod;1296;15,58068643;49,60784932
Kontaktní pracovištì Hlinsko;CR;Hlinsko;0;15,90755663;49,76213095
Kontaktní pracovištì Hluèín;OP;Hluèín;89;18,19195558;49,89795224
Kontaktní pracovištì Hodonín;HO;Hodonín;1643;17,12402333;48,85761528
Kontaktní pracovištì Holešov;KM;Holešov;0;17,57832095;49,33331034
Kontaktní pracovištì Holice;PA;Holice;0;15,98589977;50,06601137
Kontaktní pracovištì Hoøovice;BE;Hoøovice;0;13,90268092;49,83597162
Kontaktní pracovištì Hradec Králové;HK;Hradec Králové;4171;15,83276847;50,20922841
Kontaktní pracovištì Hranice;PR;Hranice;71;17,73469167;49,54796389
Kontaktní pracovištì Humpolec;PE;Humpolec;0;15,35931926;49,54152198
Kontaktní pracovištì Hustopeèe;BV;Hustopeèe;115;16,73762112;48,94084664
Kontaktní pracovištì Cheb;CH;Cheb;1841;12,37392181;50,07963461
Kontaktní pracovištì Chomutov;CV;Chomutov;5346;13,41778558;50,46047542
Kontaktní pracovištì Chotìboø;HB;Chotìboø;0;15,67018171;49,72071788
Kontaktní pracovištì Chrudim;CR;Chrudim;2651;15,79557574;49,95109228
Kontaktní pracovištì Ivanèice;BO;Ivanèice;0;16,37751824;49,10144459
Kontaktní pracovištì Jablonec nad Nisou;JN;Jablonec nad Nisou;1368;15,17107709;50,72430762
Kontaktní pracovištì Jablonec nad Nisou (eleznı Brod);JN;eleznı Brod;0;15,25407751;50,64273995
Kontaktní pracovištì Jablunkov;FM;Jablunkov;0;18,76458245;49,57671619
Kontaktní pracovištì Jaromìø;NA;Jaromìø;0;15,92136451;50,35619571
Kontaktní pracovištì Javorník;JE;Javorník;0;17,00271692;50,390772
Kontaktní pracovištì Jeseník;JE;Jeseník;298;17,20464307;50,22937015
Kontaktní pracovištì Jeseník (Vidnava);JE;Vidnava;0;17,18625534;50,37233919
Kontaktní pracovištì Jeseník (Zlaté Hory);JE;Zlaté Hory;0;17,3960176;50,2637981
Kontaktní pracovištì Jièín;JC;Jièín;1678;15,3516249;50,43722624
Kontaktní pracovištì Jièín (Hoøice);JC;Hoøice;0;15,63183396;50,36609035
Kontaktní pracovištì Jièín (Nová Paka);JC;Nová Paka;0;15,5158558;50,4945183
Kontaktní pracovištì Jihlava;JI;Jihlava;2652;15,59124485;49,39610008
Kontaktní pracovištì Jihlava (Polná);JI;Polná;0;15,71881008;49,48699746
Kontaktní pracovištì Jilemnice;SM;Jilemnice;0;15,50652933;50,60889644
Kontaktní pracovištì Jindøichùv Hradec;JH;Jindøichùv Hradec;1358;15,0030077;49,14404472
Kontaktní pracovištì Jirkov;CV;Jirkov;0;13,44768971;50,49979298
Kontaktní pracovištì Kadaò;CV;Kadaò;0;13,27130767;50,37598332
Kontaktní pracovištì Kadaò (Vejprty);CV;Vejprty;0;13,03212012;50,49231545
Kontaktní pracovištì Kaplice;CK;Kaplice;0;14,49627635;48,73848568
Kontaktní pracovištì Karlovy Vary;KV;Karlovy Vary;1894;12,860444;50,233939
Kontaktní pracovištì Karlovy Vary (Nejdek);KV;Nejdek;0;12,72935635;50,32241724
Kontaktní pracovištì Karlovy Vary (Touim);KV;Touim;0;12,98505728;50,06049374
Kontaktní pracovištì Karolinka;VS;Karolinka;0;18,24006224;49,35127692
Kontaktní pracovištì Karviná;KA;Karviná;1666;18,54168982;49,85400309
Kontaktní pracovištì Kladno;KL;Kladno;3778;14,10285089;50,14733556
Kontaktní pracovištì Klášterec nad Ohøí;CV;Klášterec nad Ohøí;0;13,1801;50,3919
Kontaktní pracovištì Klatovy;KT;Klatovy;2254;13,29505491;49,39552009
Kontaktní pracovištì Klatovy (Horaïovice);KT;Horaïovice;0;13,70100184;49,32068591
Kontaktní pracovištì Kojetín;PR;Kojetín;30;17,30206713;49,35179338
Kontaktní pracovištì Kolín;KO;Kolín;3120;15,20056781;50,02813618
Kontaktní pracovištì Kolín (Èeskı Brod);KO;Èeskı Brod;0;14,86081211;50,0742018
Kontaktní pracovištì Konice;PV;Konice;0;16,88974139;49,59079056
Kontaktní pracovištì Kopøivnice;NJ;Kopøivnice;0;18,14480057;49,59947132
Kontaktní pracovištì Kostelec nad Orlicí;RK;Kostelec nad Orlicí;0;16,2131855;50,12266737
Kontaktní pracovištì Králíky;UO;Králíky;0;16,76054146;50,08384159
Kontaktní pracovištì Kralupy nad Vltavou;ME;Kralupy nad Vltavou;0;14,31149458;50,24107089
Kontaktní pracovištì Kraslice;SO;Kraslice;1;12,5174685;50,32372233
Kontaktní pracovištì Kravaøe;OP;Kravaøe;0;18,00472026;49,93203265
Kontaktní pracovištì Krnov;BR;Krnov;0;17,70384692;50,08966852
Kontaktní pracovištì Krnov (Mìsto Albrechtice);BR;Mìsto Albrechtice;0;17,57480746;50,16293955
Kontaktní pracovištì Krnov (Osoblaha);BR;Osoblaha;0;17,71523254;50,27517148
Kontaktní pracovištì Kromìøí;KM;Kromìøí;1052;17,39311626;49,29785144
Kontaktní pracovištì Kutná Hora;KH;Kutná Hora;2147;15,26816465;49,94838848
Kontaktní pracovištì Kutná Hora (Uhlíøské Janovice);KH;Uhlíøské Janovice;0;15,06481434;49,88018894
Kontaktní pracovištì Kutná Hora (Zruè nad Sázavou);KH;Zruè nad Sázavou;0;15,10605909;49,74010307
Kontaktní pracovištì Kyjov;HO;Kyjov;0;17,12252801;49,01017714
Kontaktní pracovištì Lanškroun;UO;Lanškroun;0;16,611899;49,91216743
Kontaktní pracovištì Liberec;LB;Liberec;5663;15,0584491;50,76999731
Kontaktní pracovištì Liberec (Èeskı Dub);LB;Èeskı Dub;0;14,99567074;50,65957985
Kontaktní pracovištì Liberec (Hrádek nad Nisou);LB;Hrádek nad Nisou;0;14,84454732;50,85278969
Kontaktní pracovištì Lipník nad Beèvou;PR;Lipník nad Beèvou;2;17,58630764;49,52754609
Kontaktní pracovištì Litomìøice;LT;Litomìøice;1506;14,13180212;50,5334782
Kontaktní pracovištì Litomìøice (Libochovice);LT;Libochovice;0;14,04438762;50,40626371
Kontaktní pracovištì Litomyšl;SY;Litomyšl;0;16,31052234;49,87203228
Kontaktní pracovištì Litovel;OL;Litovel;0;17,07614851;49,70121058
Kontaktní pracovištì Litvínov;MO;Litvínov;0;13,61111077;50,60068644
Kontaktní pracovištì Louny;LN;Louny;1498;13,7966747;50,35698861
Kontaktní pracovištì Lovosice;LT;Lovosice;0;14,05103009;50,51503824
Kontaktní pracovištì Mariánské Láznì;CH;Mariánské Láznì;0;12,70118286;49,96458666
Kontaktní pracovištì Mìlník;ME;Mìlník;2641;14,47410743;50,35049684
Kontaktní pracovištì Mikulov;BV;Mikulov;0;16,63779515;48,80555884
Kontaktní pracovištì Milevsko;PI;Milevsko;0;14,36000495;49,45089226
Kontaktní pracovištì Mimoò;CL;Mimoò;0;14,7247361;50,65868863
Kontaktní pracovištì Mirovice;PI;Mirovice;0;14,03581912;49,51555077
Kontaktní pracovištì Mladá Boleslav;MB;Mladá Boleslav;8651;14,90318496;50,41135132
Kontaktní pracovištì Mladá Boleslav (Mnichovo Hradištì);MB;Mnichovo Hradištì;0;14,97433028;50,52304639
Kontaktní pracovištì Mohelnice;SU;Mohelnice;0;16,91946158;49,77698356
Kontaktní pracovištì Moravská Tøebová;SY;Moravská Tøebová;0;16,66425736;49,75792973
Kontaktní pracovištì Moravské Budìjovice;TR;Moravské Budìjovice;0;15,80864348;49,05208911
Kontaktní pracovištì Moravské Budìjovice (Jemnice);TR;Jemnice;0;15,56993624;49,01898462
Kontaktní pracovištì Moravskı Krumlov;ZN;Moravskı Krumlov;0;16,31169434;49,04893092
Kontaktní pracovištì Most;MO;Most;1430;13,63617407;50,50300691
Kontaktní pracovištì Náchod;NA;Náchod;1815;16,16288826;50,41670458
Kontaktní pracovištì Náchod (Nové Mìsto nad Metují);NA;Nové Mìsto nad Metují;0;16,15154639;50,34395222
Kontaktní pracovištì Neratovice;ME;Neratovice;0;14,51759446;50,25925851
Kontaktní pracovištì Nové Mìsto na Moravì;ZR;Nové Mìsto na Moravì;0;16,07418323;49,56144308
Kontaktní pracovištì Novı Bor;CL;Novı Bor;0;14,55555253;50,75761074
Kontaktní pracovištì Novı Bydov;HK;Novı Bydov;0;15,49082056;50,24150237
Kontaktní pracovištì Novı Bydov (Chlumec nad Cidlinou);HK;Chlumec nad Cidlinou;0;15,46026208;50,15440316
Kontaktní pracovištì Novı Jièín;NJ;Novı Jièín;2171;18,00909972;49,59341361
Kontaktní pracovištì Nymburk;NB;Nymburk;4205;15,0416719;50,18605449
Kontaktní pracovištì Nymburk (Mìstec Králové);NB;Mìstec Králové;0;15,29758125;50,20718078
Kontaktní pracovištì Nymburk (Milovice);NB;Milovice;0;14,88863222;50,22596015
Kontaktní pracovištì Odry;NJ;Odry;0;17,83084163;49,66254975
Kontaktní pracovištì Olomouc;OL;Olomouc;2789;17,25087057;49,59386869
Kontaktní pracovištì Opava;OP;Opava;1407;17,90256996;49,9386635
Kontaktní pracovištì Orlová;KA;Orlová;0;18,43011001;49,84526588
Kontaktní pracovištì Ostrava;OT;Ostrava;5431;18,28204408;49,8346452
Kontaktní pracovištì Ostrava (Jih);OT;Ostrava - Jih;0;18,2343153;49,79697002
Kontaktní pracovištì Ostrava (Poruba);OT;Poruba;0;18,16780278;49,8324
Kontaktní pracovištì Ostrava (Vítkovice);OT;Vítkovice;0;18,26361111;49,80645833
Kontaktní pracovištì Ostrov;KV;Ostrov;0;12,93906667;50,305925
Kontaktní pracovištì Otrokovice;ZL;Otrokovice;4;17,53076727;49,20991617
Kontaktní pracovištì Pardubice;PA;Pardubice;10670;15,77742389;50,03757917
Kontaktní pracovištì Pelhøimov;PE;Pelhøimov;2672;15,22335711;49,43133735
Kontaktní pracovištì Písek;PI;Písek;1838;14,14750286;49,30879533
Kontaktní pracovištì Plzeò;PM;Plzeò;7329;13,37834889;49,74778306
Kontaktní pracovištì Podboøany;LN;Podboøany;0;13,41191713;50,22936743
Kontaktní pracovištì Pohoøelice;BO;Pohoøelice;0;16,5244532;48,9811872
Kontaktní pracovištì Polièka;SY;Polièka;0;16,2686425;49,71526583
Kontaktní pracovištì Praha 10;AB;Praha 10;7524;14,473661;50,063639
Kontaktní pracovištì Praha 2;AB;Praha 2;16916;14,4235978;50,07054535
Kontaktní pracovištì Praha 3;AB;Praha 3;8421;14,46623704;50,08883314
Kontaktní pracovištì Praha 4;AB;Praha 4;10718;14,43609972;50,04064361
Kontaktní pracovištì Praha 5;AB;Praha 5;9488;14,37969056;50,0552925
Kontaktní pracovištì Praha 6;AB;Praha 6;3398;14,32570139;50,09026333
Kontaktní pracovištì Praha 8;AB;Praha 8;8482;14,45457;50,12439917
Kontaktní pracovištì Praha 9;AB;Praha 9;8760;14,51020694;50,1069575
Kontaktní pracovištì Prachatice;PT;Prachatice;2043;13,99752129;49,01292338
Kontaktní pracovištì pro Plzeò-jih;PJ;Plzeò-jih;4163;13,45550645;49,56484766
Kontaktní pracovištì pro Plzeò-jih (Nepomuk);PJ;Nepomuk;0;13,5822543;49,48616148
Kontaktní pracovištì pro Plzeò-jih (Pøeštice);PJ;Pøeštice;0;13,33349895;49,57298122
Kontaktní pracovištì pro Plzeò-sever;PS;Plzeò-sever;2465;13,28394794;49,89620098
Kontaktní pracovištì pro Plzeò-sever (Kralovice);PS;Kralovice;0;13,48747297;49,98191633
Kontaktní pracovištì pro Plzeò-sever (Manìtín);PS;Manìtín;0;13,23319236;49,99177456
Kontaktní pracovištì pro Plzeò-sever (Nıøany);PS;Nıøany;0;13,2118492;49,71145423
Kontaktní pracovištì pro Prahu-vıchod;PY;Praha-vıchod;15765;14,67618243;50,06331981
Kontaktní pracovištì pro Prahu-západ;PZ;Praha-západ;4343;14,34115509;49,97107107
Kontaktní pracovištì Prostìjov;PV;Prostìjov;1521;17,1118397;49,47187836
Kontaktní pracovištì Pøelouè;PA;Pøelouè;0;15,56030757;50,03984789
Kontaktní pracovištì Pøerov;PR;Pøerov;1050;17,44899806;49,45483806
Kontaktní pracovištì Pøíbram;PB;Pøíbram;3547;14,01042523;49,68987739
Kontaktní pracovištì Pøíbram (Bøeznice);PB;Bøeznice;0;13,95062853;49,55763216
Kontaktní pracovištì Pøíbram (Romitál pod Tøemšínem);PB;Romitál pod Tøemšínem;0;13,86430054;49,60195522
Kontaktní pracovištì Rakovník;RA;Rakovník;1004;13,73339948;50,10370051
Kontaktní pracovištì Rokycany;RO;Rokycany;2107;13,59458576;49,74269678
Kontaktní pracovištì Rosice;BO;Rosice;0;16,38919306;49,18154222
Kontaktní pracovištì Roudnice nad Labem;LT;Roudnice nad Labem;0;14,26174999;50,42528249
Kontaktní pracovištì Ronov pod Radhoštìm;VS;Ronov pod Radhoštìm;0;18,142237;49,458072
Kontaktní pracovištì Rumburk;DC;Rumburk;348;14,55698906;50,95150666
Kontaktní pracovištì Rychnov nad Knìnou;RK;Rychnov nad Knìnou;1967;16,27488396;50,16283888
Kontaktní pracovištì Rımaøov;BR;Rımaøov;0;17,27176714;49,93182934
Kontaktní pracovištì Sedlèany;PB;Sedlèany;0;14,42663846;49,66057206
Kontaktní pracovištì Semily;SM;Semily;1534;15,33552107;50,60190541
Kontaktní pracovištì Skuteè;CR;Skuteè;0;15,99654933;49,8434681
Kontaktní pracovištì Slanı;KL;Slanı;0;14,08693436;50,23045773
Kontaktní pracovištì Slavièín;ZL;Slavièín;0;17,87348795;49,08798588
Kontaktní pracovištì Slavkov u Brna;VY;Slavkov u Brna;0;16,87649206;49,15325412
Kontaktní pracovištì Sobìslav;TA;Sobìslav;0;14,7186148;49,25993435
Kontaktní pracovištì Sokolov;SO;Sokolov;690;12,64092917;50,18055333
Kontaktní pracovištì Sokolov (Horní Slavkov);SO;Horní Slavkov;0;12,80758106;50,13863097
Kontaktní pracovištì Sokolov (Chodov);SO;Chodov;0;12,75332127;50,24133562
Kontaktní pracovištì Strakonice;ST;Strakonice;1149;13,90237131;49,26140656
Kontaktní pracovištì Støíbro;TC;Støíbro;0;13,0040918;49,75293756
Kontaktní pracovištì Sušice;KT;Sušice;0;13,52018331;49,23106096
Kontaktní pracovištì Svìtlá nad Sázavou;HB;Svìtlá nad Sázavou;0;15,40393401;49,66800815
Kontaktní pracovištì Svìtlá nad Sázavou (Ledeè nad Sázavou);HB;Ledeè nad Sázavou;0;15,27772261;49,69516707
Kontaktní pracovištì Svitavy;SY;Svitavy;2685;16,46829143;49,75593714
Kontaktní pracovištì Šternberk;OL;Šternberk;0;17,2988883;49,7304436
Kontaktní pracovištì Štìtí;LT;Štìtí;0;14,37421242;50,45298394
Kontaktní pracovištì Štìtí (Úštìk);LT;Úštìk;0;14,34332421;50,5847441
Kontaktní pracovištì Šumperk;SU;Šumperk;1206;16,97060803;49,96528376
Kontaktní pracovištì Tábor;TA;Tábor;3368;14,65780339;49,41441246
Kontaktní pracovištì Tachov;TC;Tachov;3978;12,63365189;49,79527862
Kontaktní pracovištì Tanvald;JN;Tanvald;0;15,30585351;50,7373535
Kontaktní pracovištì Telè;JI;Telè;12;15,45275307;49,18417507
Kontaktní pracovištì Telè (Tøeš);JI;Tøeš;1;15,48211358;49,2909174
Kontaktní pracovištì Teplice;TP;Teplice;2134;13,82450731;50,64039751
Kontaktní pracovištì Tišnov;BO;Tišnov;14;16,42438044;49,34871806
Kontaktní pracovištì Trutnov;TU;Trutnov;1449;15,91270371;50,56100669
Kontaktní pracovištì Tøebíè;TR;Tøebíè;1607;15,88165735;49,2149228
Kontaktní pracovištì Tøebíè (Námìš nad Oslavou);TR;Námìš nad Oslavou;0;16,1584861;49,20726329
Kontaktní pracovištì Tøeboò;JH;Tøeboò;0;14,77064948;49,00363778
Kontaktní pracovištì Tøemošnice;CR;Tøemošnice;0;15,58002377;49,86911871
Kontaktní pracovištì Tøinec;FM;Tøinec;312;18,6707797;49,6776323
Kontaktní pracovištì Turnov;SM;Turnov;0;15,15680108;50,58728478
Kontaktní pracovištì Uherské Hradištì;UH;Uherské Hradištì;2571;17,45968553;49,06974979
Kontaktní pracovištì Uherskı Brod;UH;Uherskı Brod;0;17,64715055;49,02512995
Kontaktní pracovištì Unièov;OL;Unièov;0;17,12143634;49,77091536
Kontaktní pracovištì Ústí nad Labem;UL;Ústí nad Labem;733;14,04069272;50,66048752
Kontaktní pracovištì Ústí nad Orlicí;UO;Ústí nad Orlicí;3564;16,39361064;49,97387453
Kontaktní pracovištì Valašské Klobouky;ZL;Valašské Klobouky;0;18,00760008;49,14063605
Kontaktní pracovištì Valašské Meziøíèí;VS;Valašské Meziøíèí;0;17,97112732;49,47180527
Kontaktní pracovištì Varnsdorf;DC;Varnsdorf;0;14,6182351;50,91154401
Kontaktní pracovištì Velké Meziøíèí;ZR;Velké Meziøíèí;0;16,01224276;49,35521713
Kontaktní pracovištì Velké Meziøíèí (Velká Bíteš);ZR;Velká Bíteš;0;16,22585239;49,2886264
Kontaktní pracovištì Veselí nad Moravou;HO;Veselí nad Moravou;0;17,37648262;48,95363281
Kontaktní pracovištì Vimperk;PT;Vimperk;0;13,77425739;49,05243278
Kontaktní pracovištì Vítkov;OP;Vítkov;55;17,74941015;49,77445141
Kontaktní pracovištì Vodòany;ST;Vodòany;0;14,17512921;49,14789081
Kontaktní pracovištì Volary;PT;Volary;0;13,88657486;48,90880978
Kontaktní pracovištì Vrchlabí;TU;Vrchlabí;0;15,60937419;50,62696796
Kontaktní pracovištì Vsetín;VS;Vsetín;2328;17,99619027;49,33870886
Kontaktní pracovištì Vysoké Mıto;UO;Vysoké Mıto;0;16,16169284;49,9532047
Kontaktní pracovištì Vyškov;VY;Vyškov;1812;16,99897445;49,27746931
Kontaktní pracovištì Zábøeh;SU;Zábøeh;0;16,87222699;49,88260171
Kontaktní pracovištì Zlín;ZL;Zlín;4130;17,66633385;49,22665421
Kontaktní pracovištì Znojmo;ZN;Znojmo;1572;16,04879762;48,85549874
Kontaktní pracovištì Znojmo (Hrušovany nad Jevišovkou);ZN;Hrušovany nad Jevišovkou;0;16,4027074;48,82990854
Kontaktní pracovištì Znojmo (Vranov nad Dyjí);ZN;Vranov nad Dyjí;0;15,81269823;48,89469836
Kontaktní pracovištì amberk;UO;amberk;0;16,46737961;50,08601284
Kontaktní pracovištì atec;LN;atec;0;13,54577306;50,32716901
Kontaktní pracovištì ïár nad Sázavou;ZR;ïár nad Sázavou;1165;15,93924059;49,5626335
Kontaktní pracovištì idlochovice;BO;idlochovice;0;16,61880645;49,03952422
